ad_id,ad_name,campaign_id,campaign_name,ad_type,platform,reporting_date,age_group,gender,impressions,clicks,spend,conversions,conversion_value
AD_0001,Ad Creative 1,CMP_05,Campaign 4,Image,Instagram,02-07-24,18-24,Male,83820,1824,7415.63,25,801.01
AD_0002,Ad Creative 2,CMP_18,Campaign 14,Video,Instagram,19-07-24,35-44,Male,28667,3811,6020.39,517,31284.73
AD_0003,Ad Creative 3,CMP_07,Campaign 11,Image,Facebook,13-07-24,18-24,Female,99468,2615,4226.43,714,24996.01
AD_0004,Ad Creative 4,CMP_18,Campaign 4,Text,Facebook,18-07-24,35-44,All,45092,9891,8071.38,270,20432.48
AD_0005,Ad Creative 5,CMP_08,Campaign 10,Image,Facebook,28-07-24,18-24,Female,81080,5925,1923.29,591,9609.64
AD_0006,Ad Creative 6,CMP_12,Campaign 7,Carousel,Facebook,20-07-24,25-34,All,36444,7428,8341.19,650,16015.26
AD_0007,Ad Creative 7,CMP_18,Campaign 8,Carousel,Facebook,08-07-24,18-24,Female,95578,4010,4622.87,167,5727.32
AD_0008,Ad Creative 8,CMP_11,Campaign 7,Text,Instagram,29-07-24,45-54,Male,52591,4386,2110.22,67,6355.75
AD_0009,Ad Creative 9,CMP_19,Campaign 14,Text,Instagram,08-07-24,25-34,All,34728,2287,7450.02,252,14744
AD_0010,Ad Creative 10,CMP_06,Campaign 14,Image,Instagram,13-07-24,55+,Female,64696,1489,471.64,773,15358.29
AD_0011,Ad Creative 11,CMP_04,Campaign 18,Carousel,Instagram,04-07-24,35-44,Female,69362,4119,5532.48,994,94249.86
AD_0012,Ad Creative 12,CMP_09,Campaign 17,Video,Facebook,28-07-24,35-44,All,20740,7433,9538.18,3,266.48
AD_0013,Ad Creative 13,CMP_18,Campaign 17,Image,Instagram,16-07-24,18-24,Male,66550,9977,1528.82,203,15961.07
AD_0014,Ad Creative 14,CMP_03,Campaign 3,Text,Facebook,25-07-24,55+,Male,47586,5038,579.72,245,21810.11
AD_0015,Ad Creative 15,CMP_20,Campaign 14,Video,Facebook,23-07-24,35-44,Female,16838,7787,5498.26,969,32805.59
AD_0016,Ad Creative 16,CMP_08,Campaign 8,Image,Instagram,01-07-24,55+,All,88049,6118,8996.19,448,22683.92
AD_0017,Ad Creative 17,CMP_02,Campaign 8,Image,Facebook,28-07-24,35-44,Male,30171,9641,72.4,225,16583.78
AD_0018,Ad Creative 18,CMP_05,Campaign 19,Text,Facebook,26-07-24,45-54,Female,67401,3899,6689.94,285,8345.17
AD_0019,Ad Creative 19,CMP_14,Campaign 15,Image,Facebook,02-07-24,45-54,All,24967,1545,6590,99,4146.79
AD_0020,Ad Creative 20,CMP_05,Campaign 14,Video,Instagram,15-07-24,25-34,Male,44483,1790,1916.3,254,14799.49
AD_0021,Ad Creative 21,CMP_01,Campaign 3,Video,Facebook,14-07-24,45-54,Female,58092,9016,506.36,100,9993.54
AD_0022,Ad Creative 22,CMP_13,Campaign 9,Text,Instagram,14-07-24,55+,All,28026,6570,586.82,924,40755.4
AD_0023,Ad Creative 23,CMP_02,Campaign 19,Image,Instagram,02-07-24,18-24,All,94173,7973,1899.38,158,4675.71
AD_0024,Ad Creative 24,CMP_17,Campaign 3,Video,Facebook,20-07-24,18-24,All,62503,8238,8527.27,941,22742.98
AD_0025,Ad Creative 25,CMP_19,Campaign 20,Image,Facebook,14-07-24,55+,All,30838,6615,9415.99,122,7475.04
AD_0026,Ad Creative 26,CMP_11,Campaign 8,Carousel,Instagram,05-07-24,35-44,Female,68532,5183,2608.03,957,67253.5
AD_0027,Ad Creative 27,CMP_04,Campaign 3,Video,Instagram,05-07-24,35-44,Male,41451,1188,4583.13,9,898.75
AD_0028,Ad Creative 28,CMP_10,Campaign 20,Image,Instagram,30-07-24,18-24,Male,32028,6054,1577.89,291,24745.78
AD_0029,Ad Creative 29,CMP_09,Campaign 10,Video,Instagram,07-07-24,35-44,All,34674,1891,1070.81,911,54468.81
AD_0030,Ad Creative 30,CMP_14,Campaign 9,Image,Facebook,11-07-24,25-34,All,64042,4114,9081.64,927,13508.15
AD_0031,Ad Creative 31,CMP_18,Campaign 1,Image,Facebook,31-07-24,25-34,All,34345,2647,4418.63,759,55794.14
AD_0032,Ad Creative 32,CMP_02,Campaign 10,Carousel,Facebook,29-07-24,35-44,Male,4732,3024,5525.47,596,29013.76
AD_0033,Ad Creative 33,CMP_14,Campaign 20,Video,Facebook,28-07-24,25-34,Male,89409,4088,1028.38,682,54703.53
AD_0034,Ad Creative 34,CMP_14,Campaign 8,Carousel,Facebook,26-07-24,18-24,Female,54050,406,7365.78,91,3630.6
AD_0035,Ad Creative 35,CMP_12,Campaign 10,Video,Facebook,01-07-24,25-34,Female,5085,3855,1996.13,227,21033.97
